code,name_lo,name_en,parent_code,class,normal_balance,statement
10,ທຶນຂອງເຈົ້າຂອງ,Owner's equity,,equity,credit,BS
101,ທຶນຈົດທະບຽນ,Registered capital,10,equity,credit,BS
104,ສ່ວນເກີນມູນຄ່າຮຸ້ນ,Share premium,10,equity,credit,BS
106,ທຶນສຳຮອງຕາມກົດໝາຍ,Legal reserve,10,equity,credit,BS
11,ກຳໄລສະສົມ,Retained earnings,,equity,credit,BS
12,ຜົນໄດ້ຮັບປະຈຳງວດ,Result for the period,,equity,credit,BS
14,ເງິນສຳຮອງຄວາມສ່ຽງ ແລະ ຄ່າໃຊ້ຈ່າຍ,Provisions for risks and charges,,liability,credit,BS
16,ເງິນກູ້ຢືມໄລຍະຍາວ,Long-term borrowings,,liability,credit,BS
164,ເງິນກູ້ຢືມຈາກທະນາຄານ ໄລຍະຍາວ,Long-term bank loans,16,liability,credit,BS
168,ໜີ້ສິນໄລຍະຍາວອື່ນ,Other long-term liabilities,16,liability,credit,BS
20,ຊັບສິນຄົງທີ່ບໍ່ມີຕົວຕົນ,Intangible fixed assets,,asset,debit,BS
205,ຊອບແວ ແລະ ໃບອະນຸຍາດ,Software and licences,20,asset,debit,BS
208,ຄ່າຄວາມນິຍົມ,Goodwill,20,asset,debit,BS
21,ຊັບສິນຄົງທີ່ມີຕົວຕົນ,Tangible fixed assets,,asset,debit,BS
211,ດິນ,Land,21,asset,debit,BS
213,ອາຄານ ແລະ ສິ່ງປຸກສ້າງ,Buildings and structures,21,asset,debit,BS
215,ເຄື່ອງຈັກ ແລະ ອຸປະກອນ,Machinery and equipment,21,asset,debit,BS
218,ພາຫະນະຂົນສົ່ງ,Vehicles,21,asset,debit,BS
2184,ເຄື່ອງເຮືອນ ແລະ ອຸປະກອນສຳນັກງານ,Furniture and office equipment,21,asset,debit,BS
26,ການລົງທຶນໄລຍະຍາວ,Long-term investments,,asset,debit,BS
28,ຄ່າຫຼູ້ຍຫ້ຽນສະສົມ,Accumulated depreciation,,asset,credit,BS
2813,ຄ່າຫຼູ້ຍຫ້ຽນສະສົມ ອາຄານ,Accumulated depreciation — buildings,28,asset,credit,BS
2815,ຄ່າຫຼູ້ຍຫ້ຽນສະສົມ ເຄື່ອງຈັກ,Accumulated depreciation — machinery,28,asset,credit,BS
2818,ຄ່າຫຼູ້ຍຫ້ຽນສະສົມ ພາຫະນະ,Accumulated depreciation — vehicles,28,asset,credit,BS
31,ວັດຖຸດິບ,Raw materials,,asset,debit,BS
32,ວັດຖຸສິ້ນເປືອງ,Consumable supplies,,asset,debit,BS
33,ວຽກລະຫວ່າງຜະລິດ,Work in progress,,asset,debit,BS
35,ສິນຄ້າສຳເລັດຮູບ,Finished goods,,asset,debit,BS
37,ສິນຄ້າຊື້ມາເພື່ອຂາຍ,Merchandise for resale,,asset,debit,BS
39,ຄ່າເຜື່ອສິນຄ້າເສື່ອມຄຸນນະພາບ,Allowance for inventory obsolescence,,asset,credit,BS
40,ເຈົ້າໜີ້,Payables,,liability,credit,BS
401,ເຈົ້າໜີ້ການຄ້າ,Trade payables,40,liability,credit,BS
408,ເຈົ້າໜີ້ອື່ນ ຄ້າງຈ່າຍ,Other accrued payables,40,liability,credit,BS
409,ເງິນລ່ວງໜ້າຈ່າຍໃຫ້ຜູ້ສະໜອງ,Advances to suppliers,40,asset,debit,BS
41,ລູກໜີ້,Receivables,,asset,debit,BS
411,ລູກໜີ້ການຄ້າ,Trade receivables,41,asset,debit,BS
416,ລູກໜີ້ສົງໄສຈະສູນ,Doubtful receivables,41,asset,debit,BS
419,ເງິນລ່ວງໜ້າຮັບຈາກລູກຄ້າ,Customer advances received,41,liability,credit,BS
42,ພະນັກງານ,Personnel,,liability,credit,BS
421,ໜີ້ຕ້ອງຈ່າຍ ພະນັກງານ,Payroll payable,42,liability,credit,BS
425,ເງິນລ່ວງໜ້າຈ່າຍໃຫ້ພະນັກງານ,Advances to employees,42,asset,debit,BS
