term_lo,term_en,definition_lo,definition_en,variants_lo,forbidden_lo
ລູກໜີ້ການຄ້າ,Trade receivables,ຈຳນວນເງິນທີ່ລູກຄ້າຍັງຄ້າງຊຳລະຈາກການຂາຍເຊື່ອ,Amounts owed by customers from credit sales,ລູກຫນີ້ການຄ້າ|ລູກໜີ້,
ເຈົ້າໜີ້ການຄ້າ,Trade payables,ຈຳນວນເງິນທີ່ຕ້ອງຈ່າຍໃຫ້ຜູ້ສະໜອງຈາກການຊື້ເຊື່ອ,Amounts owed to suppliers from credit purchases,ເຈົ້າຫນີ້ການຄ້າ|ເຈົ້າໜີ້,
ໃບເກັບເງິນ,Invoice,ເອກະສານຮຽກເກັບເງິນຈາກລູກຄ້າ ທີ່ຕ້ອງມີເລກປະຈຳຕົວຜູ້ເສຍອາກອນ,Document requesting payment from a customer,ໃບແຈ້ງໜີ້,ໃບບິນ
ໃບຮັບເງິນ,Receipt,ເອກະສານຢັ້ງຢືນວ່າໄດ້ຮັບເງິນແລ້ວ,Document confirming money has been received,,
ບັນຊີແຍກປະເພດ,General ledger,ບັນຊີລວມທີ່ບັນທຶກທຸກລາຍການຕາມເລກບັນຊີ,The master account holding all posted transactions,ບັນຊີແຍກປະເພດທົ່ວໄປ,
ສະໝຸດລາຍວັນ,Journal,ສະໝຸດທີ່ບັນທຶກລາຍການບັນຊີຕາມລຳດັບວັນທີ,Book recording transactions in date order,ປຶ້ມລາຍວັນ,
ໃບຢັ້ງຢືນການບັນທຶກ,Journal voucher,ເອກະສານທີ່ໃຊ້ບັນທຶກລາຍການເຂົ້າບັນຊີ,Document used to record a journal entry,ໃບສຳຄັນ,
ເດບິດ,Debit,ດ້ານຊ້າຍຂອງບັນຊີ ທີ່ເພີ່ມຊັບສິນ ແລະ ຄ່າໃຊ້ຈ່າຍ,The left side of an account; increases assets and expenses,ໜີ້,
ເຄຣດິດ,Credit,ດ້ານຂວາຂອງບັນຊີ ທີ່ເພີ່ມໜີ້ສິນ ທຶນ ແລະ ລາຍຮັບ,The right side of an account; increases liabilities equity and revenue,ມີ,
ຄ່າຫຼູ້ຍຫ້ຽນ,Depreciation,ການປັນສ່ວນຕົ້ນທຶນຊັບສິນຄົງທີ່ຕາມອາຍຸການໃຊ້ງານ,Allocation of a fixed asset's cost over its useful life,ຄ່າເສື່ອມລາຄາ,
ວິທີເສັ້ນຊື່,Straight-line method,ວິທີຄິດໄລ່ຄ່າຫຼູ້ຍຫ້ຽນເທົ່າກັນທຸກປີຕະຫຼອດອາຍຸການໃຊ້ງານ,Depreciation method charging an equal amount each year,ວິທີເສັ້ນຊື່ຄົງທີ່,
ອາກອນມູນຄ່າເພີ່ມ,Value-added tax (VAT),ອາກອນທີ່ເກັບຈາກມູນຄ່າເພີ່ມຂອງສິນຄ້າ ແລະ ບໍລິການ,Tax charged on the value added to goods and services,ອາກອນ VAT|ພາສີມູນຄ່າເພີ່ມ,ພາສີ
ອາກອນຂາຍອອກ,Output VAT,ອາກອນມູນຄ່າເພີ່ມທີ່ເກັບຈາກລູກຄ້າຕອນຂາຍ,VAT charged to customers on sales,ອາກອນຜົນຜະລິດ,
ອາກອນຊື້ເຂົ້າ,Input VAT,ອາກອນມູນຄ່າເພີ່ມທີ່ຈ່າຍໃຫ້ຜູ້ສະໜອງຕອນຊື້ ແລະ ຫັກອອກໄດ້,VAT paid to suppliers on purchases and available for offset,ອາກອນປັດໄຈນຳເຂົ້າ,
ອາກອນກຳໄລ,Profit tax,ອາກອນທີ່ເກັບຈາກກຳໄລສຸດທິຂອງວິສາຫະກິດ,Tax levied on an enterprise's net profit,ອາກອນລາຍໄດ້ວິສາຫະກິດ,ພາສີກຳໄລ
ອາກອນລາຍໄດ້,Income tax,ອາກອນທີ່ເກັບຈາກລາຍໄດ້ຂອງບຸກຄົນ ຫຼື ນິຕິບຸກຄົນ,Tax levied on the income of a person or entity,,
ເງິນປະກັນສັງຄົມ,Social security contribution,ເງິນສົມທົບທີ່ນາຍຈ້າງ ແລະ ລູກຈ້າງຈ່າຍເຂົ້າກອງທຶນປະກັນສັງຄົມ,Contribution paid by employer and employee to the social security fund,ເງິນສົມທົບປະກັນສັງຄົມ,
ເລກປະຈຳຕົວຜູ້ເສຍອາກອນ,Taxpayer identification number (TIN),ເລກລົງທະບຽນທີ່ກົມສ່ວຍສາອາກອນອອກໃຫ້ຜູ້ເສຍອາກອນ,Registration number issued by the tax authority,ເລກ TIN,
ໃບດຸ່ນດ່ຽງ,Balance sheet,ບົດລາຍງານທີ່ສະແດງຊັບສິນ ໜີ້ສິນ ແລະ ທຶນ ໃນເວລາໃດໜຶ່ງ,"Statement of assets, liabilities and equity at a point in time",ໃບສະຫຼຸບຊັບສົມບັດ|ຕາຕະລາງດຸ່ນດ່ຽງ,
ໃບລາຍງານຜົນໄດ້ຮັບ,Income statement,ບົດລາຍງານລາຍຮັບ ແລະ ຄ່າໃຊ້ຈ່າຍ ໃນໄລຍະໜຶ່ງ,Statement of revenue and expenses over a period,ໃບກຳໄລຂາດທຶນ,
ບົດລາຍງານກະແສເງິນສົດ,Cash flow statement,ບົດລາຍງານທີ່ສະແດງເງິນສົດເຂົ້າ ແລະ ອອກ ໃນໄລຍະໜຶ່ງ,Statement showing cash inflows and outflows over a period,ໃບກະແສເງິນສົດ,
ກະແສເງິນສົດ,Cash flow,ການເໜັງຕີງເຂົ້າ-ອອກ ຂອງເງິນສົດ ໃນໄລຍະໜຶ່ງ,Movement of cash in and out over a period,,
ໝາຍເຫດປະກອບບົດລາຍງານການເງິນ,Notes to the financial statements,ຄຳອະທິບາຍເພີ່ມເຕີມທີ່ຄັດຕິດກັບບົດລາຍງານການເງິນ,Explanatory notes attached to the financial statements,ໝາຍເຫດປະກອບ,
ທຶນຈົດທະບຽນ,Registered capital,ຈຳນວນທຶນທີ່ຈົດທະບຽນຕາມກົດໝາຍ,Capital registered under law,,
